"bias_type","k_scenario","true_effect","true_tau","n_sims","naive_bias","naive_rmse","naive_mae","tf_bias","tf_rmse","tf_mae","tf_convergence","pp_bias","pp_rmse","pp_mae","pp_convergence","pp_pct_peese","pp_pct_negative_intercept","copas_bias","copas_rmse","copas_mae","copas_convergence","naive_tau2_bias","tf_tau2_bias","pp_tau2_bias","copas_tau2_bias","naive_pi_width","tf_pi_width","pp_pi_width","copas_pi_width","naive_coverage","naive_coverage_se","tf_coverage","tf_coverage_se","pp_coverage","pp_coverage_se","copas_coverage","copas_coverage_se"
"none",20,0.5,0.3,100,-0.0123775982025099,0.0813014292225853,0.0637307736179663,-0.0306533247977604,0.0965212506006779,0.0736214410962438,1,-1.11020616123315,1.49026276024923,1.2751342574869,1,0.16,0.75,-0.0199901498923856,0.110747462525289,0.0890848523314745,1,-0.00408855660990461,0.00461018056469211,-0.0121136052308668,-0.00797673438496679,1.24171442223366,1.29159678342616,4.88871983645484,1.2825671781993,1,0,1,0,0.81,0.0392300904918661,1,0
"none",20,0.5,0.5,100,0.00671864788927295,0.114241246429451,0.0910588910297212,-0.00909430383816937,0.119132384767463,0.0947245701849315,1,-1.82435520786627,2.20703129073289,1.96224698988285,1,0.23,0.83,0.00496288558153148,0.1973923981466,0.161716350579364,1,-0.00851315147997006,-0.000319947764761953,-0.036648195251604,-0.0245665738258998,2.08869243868229,2.11842746163895,6.68007659636548,2.11390194223119,1,0,1,0,0.77,0.0420832508250016,1,0
"none",20,0.8,0.1,100,-0.000291952865352513,0.0570171499233492,0.0442861165683805,-0.00204987321447028,0.0681330324646115,0.0526545151679792,1,-0.148195685533428,0.706459580244712,0.579444156840092,1,0.14,0.21,-0.0157105635828908,0.0769348090811286,0.0547226106432585,0.88,0.0026853523840444,0.00759993275567549,0.00297664057068953,0.0046005214232078,0.466997464892784,0.532394042456888,3.42163281814522,0.536735549499897,0.98,0.014,0.96,0.0195959179422654,0.97,0.017058722109232,0.55,0.0530330085889911
"none",20,0.8,0.3,100,-0.010687369248424,0.0813363874062572,0.0659234948264791,-0.0316950295240401,0.0965505066933839,0.0782946415527627,1,-1.41666714701211,1.75617973476761,1.51710749904306,1,0.12,0.71,-0.0366842563846015,0.137534451976793,0.0993646674560452,0.99,-0.00102697797485602,0.00816573591728312,-0.0130159657087267,0.00534342794075996,1.25390906918839,1.30556722118049,4.96992655538271,1.35572463961941,1,0,1,0,0.74,0.0438634243989226,0.97,0.0171446607997765
"none",20,0.8,0.5,100,-0.00575815505057799,0.115192387753797,0.0908119696388599,-0.0355051780892496,0.138532068459835,0.103171233940484,1,-2.39131269324959,2.50975642270911,2.39168634564793,1,0.56,0.98,-0.0491929005435851,0.203105439025341,0.15338256318151,1,-0.00180069787943475,0.0165173523838502,-0.0805642433982201,0.00280889126194131,2.11950660242634,2.18308317894213,4.79963494041339,2.22351450726567,1,0,1,0,0.38,0.0485386443980464,1,0
"none",50,0.3,0.1,100,-0.00128731175882952,0.0302848930568866,0.0244546999767583,-0.00305591691664662,0.048385052614301,0.0385632514645072,1,-0.0755559756654291,0.450984835694947,0.367773267922413,1,0.09,0.3,0.00090305797622545,0.051697949726945,0.0423200139732343,1,0.00112086356871769,0.00722591003620081,0.00103645009197574,0.000110738250982822,0.406543126772924,0.498684020479424,1.99825618512272,0.424538515929148,1,0,1,0,0.97,0.017058722109232,0.99,0.0099498743710662
"none",50,0.3,0.3,100,0.00353209416970631,0.0547071768057933,0.0457075731724809,-0.0231539785785305,0.0751446296103561,0.0601590859516635,1,-0.674960582018765,0.942889323470272,0.826163794383016,1,0.11,0.75,0.000893811273966871,0.0858159094000221,0.0694653402307923,1,0.00419672512145293,0.019243362597497,0.00151838826461313,0.00135386331221825,1.24085831010725,1.32884573796337,3.3061704117626,1.25172747884456,1,0,1,0,0.91,0.0286181760425084,1,0
"none",50,0.3,0.5,100,0.0101917674091018,0.0746160149314413,0.0577918254620123,-0.0292067711809443,0.0983799331013844,0.0795295717560817,1,-1.30836167515572,1.55255111756209,1.42303993214974,1,0.32,0.88,-0.00549842643839361,0.131467953746231,0.100162130782926,1,-0.00266077719752609,0.0230732560763914,-0.0216449709941587,-0.00900990882749799,2.00576381579495,2.10059198483287,4.18701168883131,2.02054135894181,1,0,1,0,0.77,0.0420832508250016,1,0
"none",50,0.5,0.1,100,-0.00431504272341567,0.0282588211441637,0.0229530750817448,-0.0156285499204553,0.0456342433519803,0.0356513658197385,1,-0.189988839599708,0.489515392923266,0.390811204298658,1,0.12,0.24,-0.0109785664440296,0.0463177427645856,0.03643944891485,1,0.000584779381089822,0.00649822371268977,0.000608777582140167,0.00077065471274195,0.39170346688701,0.484356452285437,2.00408776831492,0.421135356587789,0.99,0.0099498743710662,0.99,0.0099498743710662,0.96,0.0195959179422654,0.99,0.0099498743710662
"none",50,0.5,0.3,100,-0.000220577130224932,0.0476587251565644,0.0358737978410747,-0.0216819178864463,0.0706788947049772,0.0518926360325382,1,-1.06043891604997,1.20268589266005,1.11466444889794,1,0.19,0.87,-0.00846599048700948,0.0837449698051662,0.0682482453661859,1,-0.000529322196981707,0.0102101251180908,-0.00836442031035804,-0.00178566387442873,1.20657550900012,1.26911577650009,3.05839416899041,1.2254086549981,1,0,1,0,0.72,0.0448998886412873,1,0
